# NPC Ronaldine — Profile, Role and Services (Part 2)

Sections in this file: Ronaldine's Looping Tasks

== Ronaldine's Looping Tasks ==
=== Aelio Relentless Training ===
The following tasks become available when the player has unlocked Neusen Plant in the Stia region.
Ronaldine's Looping Tasks (Aelio)
Task Name | Objectives | Rewards | Description
Stia Relentless Training 2-III | Defeat ALTERS rare boss enemies (Lv.65 or greater) (0/10) | First Clear: Photon Quartz x40 Tetracite x40 Pentalite x40 Hexakite x40 Second Clear: Strugment C x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [28] ] Recommended Sector: Dext Base
Stia Relentless Training 2-IV | Defeat Dark Lemnases (Lv.65 or greater) at night (0/1) | First Clear: Silver Primm Sword +20 x1 Second Clear: C/Dread Keeper III x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing ALTERS boss enemies at night in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [29] ] Recommended Sector: Dext Base
Stia Relentless Training 2-V | Defeat a Veteran Dark Lemnas (0/1) Defeat a Veteran Doldoris (0/1) | First Clear: C/Deftness IV x10 Second Clear: Rich Stia Meat x5 Light Stia Meat x5 Crisp Stia Meat x5 Robust Stia Meat x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating Dread Enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [30] ] Recommended Sector: Mediola Outer Area 2
Stia Relentless Training 2-VI | Destroy DOLLS parts (Lv.65 or greater) (0/100) | First Clear: N-EX-Cube x3 Second Clear: Hexakite x30 | ARKS Advanced Training Instructor Ronaldine has tasked you with destroying DOLLS parts in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [31] ] Recommended Sector: Neusen Plant
Stia Relentless Training 2-VII | Defeat Silver DOLLS units (Lv.65 or greater) (0/30) | First Clear: C/Frostyl Soul IV x10 Second Clear: C/Freid Soul IV x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing rare enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [32] ] Recommended Sector: Neusen Plant
Stia Relentless Training 2-VIII | Destroy DOLLS boss enemy parts (Level 65 or greater) (0/10) | First Clear: C/Crocys Soul IV x10 Second Clear: C/Doldor Soul IV x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with destroying boss enemy parts in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [33] ] Recommended Sector: Neusen Plant
Stia Relentless Training 2-IX | Defeat DOLLS rare boss enemies (Lv.65 or greater) (0/10) | First Clear: C/Ams Soul IV x10 Second Clear: C/Nils Soul IV x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [34] ] Recommended Sector: Neusen Plant
Stia Relentless Training 2-X | Defeat Dread Enemies in the Stia Outskirts (0/10) | First Clear: 50 Star Gems Second Clear: Special Scratch Ticket x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating Dread Enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [35] ] Recommended Sector: Stia Outskirts
Stia Relentless Training 3-I | Defeat Golden ALTERS units (Lv.65 or greater) (0/10) | First Clear: C/Stira Note A x10 C/Stira Note B x10 C/Stira Note C x10 C/Stira Note D x10 Second Clear: C/Eradi Soul IV x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing rare enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [36] ] Recommended Sector: Dext Base
Stia Relentless Training 3-II | Defeat Signogun Volores (Lv.65 or greater) (0/30) Defeat Koadoris (Lv.65 or greater) (0/30) Defeat Grinbears (Lv.65 or greater) (0/30) | First Clear: Infernium x10 Second Clear: C/Stira Domina x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [37] ] Recommended Sector: Dext Base
Stia Relentless Training 3-III | Defeat boss enemies at Dext Base (Lv.65 or greater) (0/20) | First Clear: C/Mastery IV x10 Second Clear: B-Trigger/Common Purple x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [38] ] Recommended Sector: Dext Base
Stia Relentless Training 3-IV | Defeat ALTERS Megalotix boss enemies (Lv.65 or greater) (0/10) | First Clear: C/Eradi Soul IV x10 Second Clear: Rich Stia Herb x5 Light Stia Tomato x5 Crisp Stia Cauliflower x5 Robust Stia Cabbage x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [39] ] Recommended Sector: Dext Base
Stia Relentless Training 3-V | Defeat Dread Enemies in the Dreisen Plant (0/10) | First Clear: N-Enhancement Success Rate +100% x1 Second Clear: Famous Stia Mushroom x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating Dread Enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [40] ] Recommended Sector: Dreisen Plant
Stia Relentless Training 3-VI | Destroy DOLLS Megalotix parts (Lv.65 or greater) (0/30) | First Clear: N-Rare Drop Rate +25% x1 Second Clear: Famous Stia Crab x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with destroying Megalotix parts in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [41] ] Recommended Sector: Neusen Plant
Stia Relentless Training 3-VII | Defeat DOLLS Enhanced Enemies (Lv.65 or greater) (0/10) | First Clear: N-Augmentation Success Rate +20% x1 Second Clear: Famous Stia Carambola x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Enhanced Enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [42] ] Recommended Sector: Neusen Plant
Stia Relentless Training 3-VIII | Defeat boss enemies at the Neusen Plant (Lv.65 or greater) (0/20) | First Clear: C/Vardi Soul IV x10 Second Clear: B-Trigger/Common Purple x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [43] ] Recommended Sector: Neusen Plant
Stia Relentless Training 3-IX | Defeat DOLLS Megalotix boss enemies (Lv.65 or greater) (0/10) | First Clear: Special Scratch Ticket x10 Second Clear: N-EX-Cube x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Megalotix enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [44] ] Recommended Sector: Neusen Plant
Stia Relentless Training 3-X | Defeat Dread Enemies in Mediola Outer Area 2 (0/10) | First Clear: 100 Star Gems Second Clear: Special Scratch Ticket x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating Dread Enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [45] ] Recommended Sector: Mediola Outer Area 2

=== Relentless Training Across Halpha ===
The following tasks become available when the player has completed the Kvaris Independent Partisan Squad quest and has enough Battle Power to unlock the Lv. 60+ High Rank Combat Sectors.
Ronaldine's Looping Tasks (Across Halpha)
Task Name | Objectives | Rewards | Description
Relentless Training Across Halpha 1-I | Defeat DOLLS units (Lv.60 or greater) (0/300) | First Clear: N-EX-Cube x2 Second Clear: Rich Kvaris Carrot x5 Light Kvaris Cabbage x5 Crisp Kvaris Mushroom x5 Robust Kvaris Onion x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing DOLLS units in order to gain some experience.
Relentless Training Across Halpha 1-II | Defeat Silver rare enemies (Lv.60 or greater) (0/50) | First Clear: Strugment A x10 Second Clear: Rich Retem Round Eggplant x5 Light Retem Cranberries x5 Crisp Retem Mushroom x5 Robust Retem Cauliflower x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing rare enemies in order to gain some experience.
Relentless Training Across Halpha 1-III | Defeat Pettas Axes (Lv.60 or greater) (0/20) Defeat Gororons (Lv.60 or greater) (0/20) Defeat Evil Angelos (Lv.60 or greater) (0/30) | First Clear: Strugment B x10 Second Clear: Rich Aelio Herb x5 Light Aelio Mushroom x5 Crisp Aelio Tomato x5 Robust Aelio Turnip x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [46] ] Recommended Sector: Mt. Magnus (Rank 4 or higher)
Relentless Training Across Halpha 1-IV | Defeat ALTERS boss enemies (Lv.60 or greater) (0/10) | First Clear: Strugment C x10 Second Clear: B-Trigger/Common Yellow x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience.
Relentless Training Across Halpha 1-V | Defeat Oruqs (Lv.60 or greater) (0/3) Defeat Bujins (Lv.60 or greater) (0/3) Defeat Daityl Swords (Lv.60 or greater) (0/3) | First Clear: C/Decold Might x10 Second Clear: C/Ael Domina x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [47] ] Recommended Sector: Vanford Laboratory Ruins (Rank 4 or higher)
Relentless Training Across Halpha 1-VI | Defeat ALTERS Megalotix (Lv.60 or greater) (0/100) | First Clear: C/Decold Precision x10 Second Clear: C/Decold Standard II x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Megalotix in order to gain some experience.
Relentless Training Across Halpha 1-VII | Defeat Golden rare enemies (Lv.60 or greater) (0/20) | First Clear: C/Decold Technique x10 Second Clear: C/Might IV x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing rare enemies in order to gain some experience.
Relentless Training Across Halpha 1-VIII | Defeat Pettax Axes (Lv.60 or greater) (0/30) Defeat Dotts (Lv.60 or greater) (0/30) Defeat Herucs (Lv.60 or greater) (0/30) | First Clear: Silver Primm Armor +20 x1 Second Clear: C/Precision IV x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [48] ] Recommended Sector: Mt. Magnus (Rank 4 or higher)
Relentless Training Across Halpha 1-IX | Defeat DOLLS boss enemy Megalotix (Lv.60 or greater) (0/10) | First Clear: B-Trigger/Common Yellow x15 Second Clear: C/Technique IV x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Megalotix in order to gain some experience.
Relentless Training Across Halpha 1-X | Defeat Varas (Lv.60 or greater) (0/3) Defeat Daityl Axes (Lv.60 or greater) (0/3) Defeat Nex Aelios (Lv.60 or greater) (0/3) | First Clear: 50 Star Gems Second Clear: B-Trigger/Common Purple x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [49] ] Recommended Sector: Resol Forest (Rank 3 or higher)
Relentless Training Across Halpha 2-I | Defeat ALTERS units (Lv.60 or greater) (0/300) | First Clear: B-Trigger/Common Purple x15 Second Clear: Strugment A x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing ALTERS units in order to gain some experience.
Relentless Training Across Halpha 2-II | Defeat Enhanced Enemies (Lv.60 or greater) (0/30) | First Clear: Monotite x40 Dualomite x40 Trinite x40 Second Clear: Strugment B x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Enhanced Enemies in order to gain some experience.
Relentless Training Across Halpha 2-III | Defeat Alma Rongos (Lv.60 or greater) (0/30) Defeat Signogun Lores (Lv.60 or greater) (0/30) Defeat Gillnach Lores (Lv.60 or greater) (0/30) | First Clear: Photon Chunk x40 Photon Quartz x40 Tetracite x40 Pentalite x40 Second Clear: Strugment C x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [50] ] Recommended Sector: Retem Alnothe (Rank 4 or higher)
Relentless Training Across Halpha 2-IV | Defeat FORMERS boss enemies (Lv.60 or greater) (0/10) | First Clear: Silver Primm Sword +20 x1 Second Clear: C/Pettas Soul IV x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience.
Relentless Training Across Halpha 2-V | Defeat Fortos Launchers (Lv.60 or greater) (0/3) Defeat Bubble Snappers (Lv.60 or greater) (0/3) | First Clear: C/Deftness IV x10 Second Clear: C/Ret Domina x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [51] ] Recommended Sector: Retem Alnothe (Rank 4 or higher)
Relentless Training Across Halpha 2-VI | Defeat FORMERS Megalotix (Lv.60 or greater) (0/100) | First Clear: N-EX-Cube x3 Second Clear: C/Nex Soul IV x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Megalotix in order to gain some experience.
Relentless Training Across Halpha 2-VII | Defeat DOLLS Enhanced Enemies (Lv.60 or greater) (0/10) | First Clear: C/Daityl Soul IV x10 Second Clear: C/Daityl Soul IV x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Enhanced Enemies in order to gain some experience.
Relentless Training Across Halpha 2-VIII | Defeat Sand Roroxes (Lv.60 or greater) (0/20) Defeat Brancles (Lv.60 or greater) (0/30) | First Clear: C/Pettas Soul IV x10 Second Clear: C/Dust Soul IV x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing DOLLS units in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [52] ] Recommended Sector: Maqead Lower Level (Rank 4 or higher)
Relentless Training Across Halpha 2-IX | Defeat ALTERS boss enemy Megalotix (Lv.60 or greater) (0/10) | First Clear: C/Nex Soul IV x10 Second Clear: C/Renus Soul IV x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Megalotix in order to gain some experience.
Relentless Training Across Halpha 2-X | Defeat Sand Nogleths (Lv.60 or greater) (0/3) Defeat Lizentos (Lv.60 or greater) (0/3) Defeat Renus Retems (Lv.60 or greater) (0/3) | First Clear: 50 Star Gems Second Clear: Special Scratch Ticket x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [53] ] Recommended Sector: Maqead Lower Level (Rank 4 or higher)
Relentless Training Across Halpha 3-I | Defeat FORMERS units (Lv.60 or greater) (0/300) | First Clear: C/Ael Domina x5 C/Ret Domina x5 C/Kvar Domina x5 Second Clear: C/Eradi Soul IV x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing FORMERS units in order to gain some experience.
Relentless Training Across Halpha 3-II | Defeat ALTERS rare enemies (Lv.60 or greater) (0/100) | First Clear: C/Dust Soul IV x10 C/Crocys Soul IV x10 Second Clear: C/Ragras Soul IV x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing rare enemies in order to gain some experience.
Relentless Training Across Halpha 3-III | Defeat Freezihogs (Lv.60 or greater) (0/30) Defeat Freezisnegs (Lv.60 or greater) (0/30) Defeat Freezirowpas (Lv.60 or greater) (0/30) | First Clear: C/Ragras Soul IV x10 C/Frostyl Soul IV x10 Second Clear: Pentalite x30 Icicle Cube x10 Icicle Cube x3 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [54] ] Recommended Sector: Belugana Ruins (Rank 3 or higher)
Relentless Training Across Halpha 3-IV | Defeat DOLLS boss enemies (Lv.60 or greater) (0/10) | First Clear: C/Renus Soul IV x10 C/Ams Soul IV x10 Second Clear: C/Crocys Soul IV x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience.
Relentless Training Across Halpha 3-V | Defeat Crocodylis (Lv.60 or greater) (0/3) Defeat Malachrides (Lv.60 or greater) (0/3) | First Clear: N-Enhancement Success Rate +100% x1 Second Clear: C/Kvar Domina x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [55] ] Recommended Sector: Belugana Ruins (Rank 3 or higher)
Relentless Training Across Halpha 3-VI | Defeat DOLLS Megalotix (Lv.60 or greater) (0/100) | First Clear: N-Rare Drop Rate +25% x1 Second Clear: C/Frostyl Soul IV x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Megalotix in order to gain some experience.
Relentless Training Across Halpha 3-VII | Defeat ALTERS units at night (Lv.60 or greater) (0/100) | First Clear: N-Augmentation Success Rate +20% x1 Second Clear: C/Ams Soul IV x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing ALTERS units at night in order to gain some experience.
