# ALTERS Enemy Faction — All Types and Behavior (Part 2)

== Normal Enemies ==
=== Aelio Region ===
Enemy | Area | Drop List | Breakpoints | Weakness | Notes
Arctigero | • North Kvaris • West Kvaris • Rayjord Gorge • Lost Central | Alts Soul Alts Secreta | - | Weak to: | Kvaris variants of Kerogero with the same behaviors.
Brrgero | • Central Kvaris • Belugana Ruins | Alts Soul Alts Secreta | - | Weak to: | Variants of Arctigero that are identical in essentially every way.
Freezicurio | • Belugana Ruins | Alts Soul Alts Secreta | - | Weak to: | Extremely minitaured Kvaris variants of the Curio ALTERS. Attacks by swinging its abdomen at melee range, as well as with balls of ice generated by their tentacles.
Chillycurio | • South Kvaris • West Kvaris | Alts Soul Alts Secreta | - | Weak to: | Variants of Freezicurio that are identical in essentially every way.
Freezidog | • Central Kvaris • Belugana Ruins | Alts Soul Alts Secreta | - | Weak to: | Kvaris variants of Mumidogs with the same behaviors.
Chillydog | • South Kvaris • Rayjord Gorge • Lost Central | Alts Soul Alts Secreta | - | Weak to: | Variants of Freezidogs that are identical in essentially every way.
Freezihedge | • Central Kvaris • Belugana Ruins | Alts Soul Alts Secreta | - | Weak to: | Miniaturized Freezihogs. Lack a weakpoint, but have significantly less health.
Chillyhedge | • West Kvaris | Alts Soul Alts Secreta | - | Weak to: | Variants of Freezihedge that are identical in essentially every way.
Freezihog | • Central Kvaris • Belugana Ruins | Alts Soul Alts Secreta | • Core (weakpoint) | Weak to: | Kvaris variants of the Hog ALTERS. Possesses all of the same abilities as their Aelio and Retem counterparts, alongside the unique ability to hurl snowballs.
Chillyhog | • West Kvaris • Lost Central | Alts Soul Alts Secreta | • Core (weakpoint) | Weak to: | Variants of Freezihog that are identical in essentially every way.
Freeziron | • Belugana Ruins | Alts Soul Alts Secreta | - | Weak to: | Extremely minitaured Kvaris variants of the Lon ALTERS. Attacks with kicks.
Chillyron | • North Kvaris • South Kvaris • Rayjord Gorge | Alts Soul Alts Secreta | - | Weak to: | Variants of Freeziron that are identical in essentially every way.
Freezirowpa | • Central Kvaris • Belugana Ruins | Alts Soul Alts Secreta | • Core (weakpoint) | Weak to: | Kvaris variants of Crowpa that utilize Freeze.
Chillyrowpa | • West Kvaris • Rayjord Gorge • Lost Central | Alts Soul Alts Secreta | • Core (weakpoint) | Weak to: | Variants of Freezirowpa that are identical in essentially every way.
Freezisneg | • Central Kvaris • Belugana Ruins | Alts Soul Alts Secreta | • Core (weakpoint) | Weak to: | Kvaris variants of Glasneg that utilize Freeze.
Chillysneg | • South Kvaris • Rayjord Gorge • Lost Central | Alts Soul Alts Secreta | • Core (weakpoint) | Weak to: | Variants of Freezisneg that are identical in essentially every way.

=== Stia Region ===
Enemy | Area | Drop List | Breakpoints | Weakness | Notes
Basalpion | • Stia Outskirts (Emergency Trials) • Mediola Outer Area 1 • Mediola Outer Area 2 • Dext Base | Alts Soul Alts Secreta | - | Weak to: | A Scorpion-shaped Alters. At night it grows large yellow front pincers.
Bigar Clore | • Dext Base | Alts Soul Alts Secreta | - | Weak to: | Variants of Boa Clore that are identical but it has bigger horns.
Boa Clore | • Stia Outskirts (Veteran Volt Lemnas) • Mediola Outer Area 1 | Alts Soul Alts Secreta | - | Weak to: | Alters crawl on all fours with a eye shape face. At night it grows yellow horns.
Flayray | • Stia Outskirts | Alts Soul Alts Secreta | Weak to: | Stingray-type Alters. At night it grows large yellow spikes on it back.
Grinbear | • Stia Outskirts • Mediola Outer Area 1 • Dext Base | Alts Soul Alts Secreta | • Core (weakpoint) | Weak to: | Stia variants of Roufin Bear with the same behaviors.
Koadori | • Stia Outskirts (Veteran Duskdi Scythe) • Mediola Outer Area 1 • Dext Base | Alts Soul Alts Secreta | - | Weak to: | Bird-shaped Alters that cant fly. At night it grows red spikes on it wings.
Krisnukl | • Stia Outskirts (Emergency Trials) • Mediola Outer Area 1 • Mediola Outer Area 2 • Dext Base | Alts Soul Alts Secreta | - | Weak to: | Bipedal Alters whose bodies are made of rock covered with crystals and its only arm is shape as a shield.
Mag Head | • Mediola Outer Area 2 (Veteran Dark Lemnas) • Dext Base | Alts Soul Alts Secreta | - | Weak to: | Variants of Slug Head that are identical in essentially every way.
Rock Hound | • Stia Outskirts • Dreisen Plant | Alts Soul Alts Secreta | - | Weak to: | Stia variants of Mumidog with the same behaviors.
Slug Head | • Stia Outskirts | Alts Soul Alts Secreta | - | Weak to: | Alters that have long slender quadrupedal bodies with round faces on the tips of their bodies. At night the rounded faces get yellow spikes around it.
Stein Hound | • Mediola Outer Area 1 • Dext Base | Alts Soul Alts Secreta | - | Weak to: | Variants of Rock Hound that are identical in essentially every way.
Thunderay | • Mediola Outer Area 1 • Mediola Outer Area 2 • Dext Base | Alts Soul Alts Secreta | - | Weak to: | Variants of Flayray that are identical in essentially every way.
