# DOLLS Enemy Faction — All Types and Behavior (Part 2)

== Normal Enemies ==
=== Aelio Region ===
Enemy | Area | Drop List | Breakpoints | Weakness | Notes
Pettax Gun | • Aelio Region Combat Sectors • Neusen Plant (Green) | Pettas Soul | • Chest Armor • Core (weakpoint) | Weak to: | Enhanced Pettas Gun variants. Possesses slightly more endurance, as well as a new hopping attack where it showers the area below it with shots.
Pettax Launcher | • Vanford Laboratory Ruins • Mt. Magnus (Emergency Trials) • Resol Forest (Emergency Trials) • Neusen Plant (Green) | Pettas Soul | • Chest Armor • Core (weakpoint) | Weak to: | Enhanced Pettas Launcher variants. Possesses slightly more endurance, as well as the ability to leave lingering explosive energy balls.
Pettax Sword | • Aelio Region Combat Sectors • Neusen Plant (Green) | Pettas Soul | • Chest Armor • Core (weakpoint) | Weak to: | Enhanced Pettas Sword variants. Possesses slightly more endurance, but attacks with the same moves.

=== Retem Region ===
Enemy | Area | Drop List | Breakpoints | Weakness | Notes
Brancle | • Retem Region Exploration Sectors • Maqead Lower Level • Neusen Plant (Yellow) | Dolz Soul | • Central Plate • Core (weakpoint) | Weak to: | Floating enemies that can attack with long-range beams and energy projectiles, as well as short-range swings of their tentacles. The core of a Brancle can be found under the plate connected to its central tentacle, being revealed during melee combat. The protective plate can be damaged, temporarily immobilizing the Brancle and revealing its core. Vulnerable to Elemental Downs.
Deser Gun | • Retem Region Exploration and Combat Sectors • Neusen Plant (Yellow) | Dolz Soul Koukloziat Rifle (Lv. 31+) | • Chest Armor • Core (weakpoint) | Weak to: | Stronger variants of Pettas Gun that appear in the Retem Region. Attacks with new moves and increased aggression.
Deser Gunblade | • Rwh Maqead • Maqead Lower Level • Neusen Plant (Yellow) | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Enhanced Deser variants that can shift between Deser Sword and Deser Gun behavior, as well as possessing exclusive behaviors.
Deser Launcher | • Central Retem • Maqead Lower Level • Neusen Plant (Yellow) | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Stronger variants of Pettas Launcher that appear in the Retem Region. Attacks with new moves and increased aggression.
Deser Sword | • Retem Region Exploration and Combat Sectors • Neusen Plant (Yellow) | Dolz Soul Koukloziat Blade (Lv. 31+) | • Chest Armor • Core (weakpoint) | Weak to: | Stronger variants of Pettas Sword that appear in the Retem Region. Attacks with new moves and increased aggression.
Sand Dotts | • West Retem • Retem Region Combat Sectors • Neusen Plant (Yellow) | Dolz Soul | • Core (weakpoint) | Weak to: | Stronger variants of Dotts that appears in the Retem Region. Instead of firing a singular large projectile like their Aelio variants, Sand Dotts fire three smaller projectiles. These projectiles will also release a delayed explosion if they make contact with a surface.
Sand Fuwan | • Retem Region Exploration and Combat Sectors • Neusen Plant (Yellow) | Dolz Soul | - | Weak to: | Variants of Fuwan that appear in the Retem Region. Possesses all of the same moves of their Aelio counterparts.
Sand Koron | • Central Retem • North Retem • Rwh Maqead • Retem Region Combat Sectors • Neusen Plant (Yellow) | Dolz Soul | - | Weak to: | A minature version of Sand Roron. Significantly weaker, as well as limited in attack options.
Sand Roron | • Central Retem • North Retem • Rwh Maqead • Retem Region Combat Sectors • Neusen Plant (Yellow) | Dolz Soul | • Belly • Belly Core (weakpoint) • Back Core (weakpoint) | Weak to: | Stronger variants of Gororons that appear in the Retem Region. Possesses modified attacks, as well as a weakness to the Wind Element instead of Ice.
Sand Rorox | • Maqead Lower Level • Neusen Plant (Yellow) | Dolz Soul | • Belly • Belly Core (weakpoint) • Back Core (weakpoint) | Weak to: | Enhanced Sand Roron variants that possess all of the same attacks, as well as weaknesses. Similarly to Aelio's Gororox enemies, Sand Rorox can absorb attacks directed at their unbroken bellies. After gathering enough energy, it will leap into the air and slam its belly on the ground—releasing a powerful explosion in the process.
Sand Tinos | • Central Retem • Maqead Lower Level • Neusen Plant (Yellow) | Dolz Soul | - | Weak to: | Variants of Tinos that appear in the Retem Region. Posseses the same behaviors as their Aelio counterparts.
Metius | • Retem Region Combat Sectors • Maqead Lower Level • Neusen Plant (Yellow) | Dolz Soul Koukloziat Harmonizer (Lv. 31+) | • Speakers • Core (weakpoint) | Weak to: | Tall enemies with with cores high on their backs. Can use the speakers on its arms to release shockwave attacks, as well as to apply Shifta on nearby enemies. Breaking its speakers or inflicting an Elemental Down staggers the Metius for an extended period, allowing its core to be attacked with ease. Additionally, a Metius with damaged speakers can not use its speaker-based moves.

=== Kvaris Region ===
Enemy | Area | Drop List | Breakpoints | Weakness | Notes
Ams Krone | • Rayjord Gorge • Lost Central • Neusen Plant (Blue) | Dolz Soul | • Entire Body (weakpoint) | Weak to: | DOLLS that strongly resemble the imposing Ams Kvaris. Utilizes weaker attacks of Ams Kvaris, such as its kicks and punches. Vulnerable to Physical Downs.
Freeztts | • West Kvaris • Rayjord Gorge • Belugana Ruins • Lost Central • Neusen Plant (Blue) | Dolz Soul | • Flank Cannons (x4) • Core (weakpoint) | Weak to: | Variants of Dotts that appear in the Kvaris Region. Will sweep a laser beam in the direction of targets.
Jangis | • Central Kvaris • South Kvaris • West Kvaris • Lost Central • Neusen Plant (Blue) | Dolz Soul | - | Weak to: | Smaller DOLLS that resemble a large hand. Attempts to tackle targets.
Proctys Ael | • Central Kvaris • South Kvaris • North Kvaris • Rayjord Gorge • Neusen Plant (Blue) | Dolz Soul | • Projector • Core (weakpoint) | Weak to: | DOLLS with a large projector equipped to their backs. Uses their projectors to summon actions of Aelio DOLLS, including Gororon projectiles and the arm of a Pettas Sword. Destroying the opening to its projector permanently leaves its core exposed, as well as extends the time needed for the Proctys to summon an attack. It may even accidentially summon a Restasigne.
Proctys Retem | • Rayjord Gorge • Lost Central • Neusen Plant (Blue) | Dolz Soul | • Projector • Core (weakpoint) | Weak to: | DOLLS with a large projector equipped to their backs. Uses their projectors to summon actions of Retem DOLLS, including Metius healing auras. Destroying the opening to its projector permanently leaves its core exposed, as well as extends the time needed for the Proctys to summon an attack. It may even accidentially summon a Restasigne.
Rinshan | • Central Kvaris • West Kvaris • Rayjord Gorge • Belugana Ruins • Lost Central • Neusen Plant (Blue) | Dolz Soul | • Club • Core (weakpoint) | Weak to: | DOLLS that ride on a single wheel, utilizing their heads as clubs. Destroying the end of the club exposes the Rinshan's core.
Snow Fuwan | • South Kvaris • Rayjord Gorge • Belugana Ruins • Lost Central • Neusen Plant (Blue) | Dolz Soul | - | Weak to: | Variants of Fuwan that appear in the Kvaris Region. Possesses all of the same moves of their Aelio and Retem counterparts.
Snow Tinos | • West Kvaris • Rayjord Gorge • Belugana Ruins • Lost Central • Neusen Plant (Blue) | Dolz Soul | - | Weak to: | Variants of Tinos that appear in the Kvaris Region. Possesses all of the same moves of their Aelio and Retem counterparts.
Snororon | • Central Kvaris • Rayjord Gorge • Belugana Ruins • Lost Central • Neusen Plant (Blue) | Dolz Soul | • Belly • Belly Core (weakpoint) • Back Core (weakpoint) | Weak to: | Variants of Gororon that appear in the Kvaris Region. Releases shockwaves from their bellies that can inflict Freeze.
Snow Rorox | • Rayjord Gorge • Lost Central • Neusen Plant (Blue) | Dolz Soul | • Belly • Belly Core (weakpoint) • Back Core (weakpoint) | Weak to: | Enhanced Snororon variants that possess all of the same attacks, as well as weaknesses. Much like other variations of Gororox, Snororox can absorb attacks directed at their bellies and store the energy. When a Snororox is ready, it will use the energy it absorbed to generate a ball of ice that explodes into shards that can inflict Freeze.
Zams Sword | • South Kvaris • West Kvaris • Belugana Ruins • Lost Central • Neusen Plant (Blue) | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Variants of Pettas Sword found in the Kvaris Region. Attacks with many of the same moves as their Aelio counterparts, but can warp to quickly close gaps.
Zams Gun | • West Kvaris • Rayjord Gorge • Belugana Ruins • Lost Central • Neusen Plant (Blue) | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Variants of Pettas Gun found in the Kvaris Region. Fires fast-moving beam shots from their rifles.
Zams Launcher | • Central Kvaris • Rayjord Gorge • Belugana Ruins • Lost Central • Neusen Plant (Blue) | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Variants of Pettas Launchers found in the Kvaris Region. Fires a continuous beam that can Freeze targets.
Zams Gunblade | • Rayjord Gorge • Lost Central • Neusen Plant (Blue) | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Enhanced Zams variants that can switch between Zams Sword and Zams Gun behaviors, as well as possessing exclusive behaviors.

=== Stia Region ===
Enemy | Area | Drop List | Breakpoints | Weakness | Notes
Gazzas Axe | • Stia Region Exploration Sectors • Dext Base • Neusen Plant (Any) | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Variants of Pettas Axe found in the Stia Region. Attacks using devasating overhead swings, as well as by repeatedly bashing their axes into the ground. Its attacks can inflict Burn.
Gazzas Gun | • Stia Outskirts • Dreisen Plant • Mediola Outer Area 1 • Neusen Plant (Any) | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Variants of Pettas Gun found in the Stia Region. Fires bullets that stick to the ground and explode after a delay. Its attacks can inflict Burn.
Gazzas Launcher | • Stia Region Exploration Sectors • Neusen Plant (Any) | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Variants of Pettas Launcher found in the Stia Region. Fires energy shells that stick to the ground and explode after a delay. Its attacks can inflict Burn.
Gazzas Gunblade | • Stia Region Exploration Sectors • Dext Base • Neusen Plant (Any) | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Enhanced Gazzas variants that can switch between Sword and Gun movesets, as well as possessing exclusive behaviors.
Boostas | • Dreisen Plant • Mediola Outer Area 1 • Dext Base • Neusen Plant (Any) | Dolz Soul | - | Weak to: | Smaller DOLLS that attack utilizing their large, rocket-propelled fists.
Lava Fuwan | • Dreisen Plant • Mediola Outer Area 1 • Dext Base • Neusen Plant (Any) | Dolz Soul | - | Weak to: | Variants of Fuwan that appear in the Stia Region. Behaves similarly to the variants found in other regions.
Lava Metius | • Dreisen Plant • Dext Base • Neusen Plant (Any) | Dolz Soul | • Speakers • Core (weakpoint) | Weak to: | Variants of Metius found in the Stia Region. Functions similarly to their Retem counterparts, but with the ability to inflict Burn.
Lava Roron | • Dreisen Plant • Mediola Outer Area 2 • Dext Base • Neusen Plant (Any) | Dolz Soul | • Core (weakpoint) | Weak to: | Variants of Gororon that appear in the Stia Region. Releases shockwaves from their bellies that can inflict Burn.
Lava Rorox | • Mediola Outer Area 2 • Neusen Plant (Any) | Dolz Soul | • Core (weakpoint) | Weak to: | Enhanced Lava Roron variants that possess all of the same attacks, as well as weaknesses. Much like other variations of Gororox, Lava Rorox can absorb attacks directed at their bellies and store the energy. When a Lava Rorox is ready, it will use the energy it absorbed to perform an explosive bodyslam that can inflict Burn.
Lava Tinos | • Stia Outskirts • Dreisen Plant • Mediola Outer Area 2 • Neusen Plant (Any) | Dolz Soul | - | Weak to: | Variants of Tinos that appear in the Stia Region. Possesses all of the same moves of their other counterparts.
Stratis | • Stia Outskirts • Dreisen Plant • Dext Base • Neusen Plant (Any) | Dolz Soul | • Torso Armor • Core (weakpoint) | Weak to: | Medium-sized DOLLS with massive, rocket-powered legs. Despite their bulky builds, Stratis can move at high speeds through the use of their rocket thrusters, as well as fire balls of flaming energy. Destroying their torso armor reveals a Stratis' core, as well as causing it to fall over after a spin attack.
Vanizz | • Stia Outskirts • Dreisen Plant • Dext Base • Neusen Plant (Any) | Dolz Soul | • Core (weakpoint) | Weak to: | Variants of Dotts that appear in the Stia Region. Will fire a blazing beam directly at targets.

=== High ===
Enemy | Area | Drop List | Breakpoints | Weakness | Notes
High Gorororox | • Altered Investigation South Tundra Area | Weak to: | High version of Gorororox.

=== Urgent Quests/Region Independent ===
Enemy | Area | Drop List | Breakpoints | Weakness | Notes
Bitts | • Mining Rig Defense: Kvaris | Dolz Soul | - | Weak to: | Small DOLLS that resemble warheads on legs. Normally attacks using powerful tackles in the direction of their target, but can also perform a self-destruct attack during Mining Rig Defense: Kvaris.
Boms Gun | • Mining Rig Defense: Aelio • Mining Rig Defense: Retem | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Alternate version of Pettas Gun that uses all of the same attacks; exclusive to Mining Rig Defense: Aelio. In addition to its normal behaviors, it possesses a potent self-destruct attack that it will attempt to use on a Mining Rig at the end of waves.
Boms Sword | • Mining Rig Defense: Aelio • Mining Rig Defense: Retem | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Alternate version of Pettas Sword that uses all of the same attacks; exclusive to Mining Rig Defense: Aelio. In addition to its normal behaviors, it possesses a potent self-destruct attack that it will attempt to use on a Mining Rig at the end of waves.
Bomks Gun | • Mining Rig Defense: Aelio • Mining Rig Defense: Retem | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Alternate version of Pettax Gun that uses all of the same attacks; exclusive to Mining Rig Defense Urgent Quests. In addition to its normal behaviors, it possesses a potent self-destruct attack that it will attempt to use on a Mining Rig at the end of waves.
Bomks Sword | • Mining Rig Defense: Aelio • Mining Rig Defense: Retem | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Alternate version of Pettax Sword that uses all of the same attacks; exclusive to Mining Rig Defense Urgent Quests. In addition to its normal behaviors, it possesses a potent self-destruct attack that it will attempt to use on a Mining Rig at the end of waves.
Bol Zams Gun | • Mining Rig Defense: Kvaris | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Alternate version of Zams Gun that uses all of the same attacks; exclusive to Mining Rig Defense Urgent Quests. In addition to its normal behaviors, it possesses a potent self-destruct attack that it will attempt to use on a Mining Rig at the end of waves.
Bol Zams Sword | • Mining Rig Defense: Kvaris | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Alternate version of Zams Sword that uses all of the same attacks; exclusive to Mining Rig Defense Urgent Quests. In addition to its normal behaviors, it possesses a potent self-destruct attack that it will attempt to use on a Mining Rig at the end of waves.
Darlett Attacker | • The Battle of Halphia Lake | - | - | Weak to: | Minions of Dark Falz Aegis. Attacks with physical strikes, and awards points to utilize the Mobile Cannon M2 upon defeat.
Darlett Shooter | • The Battle of Halphia Lake | - | - | Weak to: | Minions of Dark Falz Aegis. Attacks with energy projectiles, and awards points to utilize the Mobile Cannon M2 upon defeat.
Remotus | • Mining Rig Defense: Kvaris | Dolz Soul | • Core (weakpoint) | Weak to: | DOLLS that fire missiles from a stationary position. While their missiles are powerful, they also travel slowly, and are destructible.
Marioness | • Resol Forest (Rank 4) Maqead Lower Level (Rank 5) Retem Alnothe (Rank 5) | - | • Core (weakpoint) | Weak to: | DOLLS that resemble the top half of a marionette. Attack with claw slashes, and can reposition via warping. A Marioness' core is the yellow structure floating behind it.
